id,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
48,p_shrub,p_grassland,p_grassland,p_shrub,p_shrub,p_crops,p_forest,p_shrub,p_shrub,p_shrub,p_shrub,p_shrub,p_shrub,p_shrub,p_shrub,p_pasture,p_grassland,p_crops,p_pasture,p_crops,p_shrub,p_shrub,p_shrub,p_grassland,p_shrub,p_shrub,p_shrub,p_shrub,p_crops,p_pasture,p_shrub,p_shrub,p_shrub,p_shrub,p_shrub,p_shrub,p_shrub,p_crops,p_shrub,p_shrub,p_shrub,p_shrub,p_shrub,p_shrub,p_pasture,p_shrub,p_shrub,p_pasture,p_pasture
49,p_grassland,p_pasture,p_pasture,p_grassland,p_grassland,p_forest,slope,p_grassland,p_grassland,p_grassland,p_grassland,p_grassland,p_grassland,p_grassland,p_grassland,p_crops,p_pasture,p_forest,p_crops,p_forest,p_grassland,p_grassland,p_grassland,p_pasture,p_grassland,p_grassland,p_grassland,p_grassland,p_forest,p_crops,p_grassland,p_grassland,p_grassland,p_grassland,p_grassland,p_grassland,p_grassland,p_forest,p_grassland,p_grassland,p_grassland,p_grassland,p_grassland,p_grassland,p_crops,p_grassland,p_grassland,p_crops,p_crops
50,p_pasture,p_crops,p_crops,p_pasture,p_pasture,slope,travel,p_pasture,p_pasture,p_pasture,p_pasture,p_pasture,p_pasture,p_pasture,p_pasture,p_forest,p_crops,slope,p_forest,slope,p_pasture,p_pasture,p_pasture,p_crops,p_pasture,p_pasture,p_pasture,p_pasture,slope,p_forest,p_pasture,p_pasture,p_pasture,p_pasture,p_pasture,p_pasture,p_pasture,slope,p_pasture,p_pasture,p_pasture,p_pasture,p_pasture,p_pasture,p_forest,p_pasture,p_pasture,p_forest,p_forest
51,p_crops,p_forest,p_forest,p_crops,p_crops,travel,elev,p_crops,p_crops,p_crops,p_crops,p_crops,p_crops,p_crops,p_crops,slope,p_forest,travel,slope,travel,p_crops,p_crops,p_crops,p_forest,p_crops,p_crops,p_crops,p_crops,travel,slope,p_crops,p_crops,p_crops,p_crops,p_crops,p_crops,p_crops,travel,p_crops,p_crops,p_crops,p_crops,p_crops,p_crops,slope,p_crops,p_crops,slope,slope
52,p_forest,slope,slope,p_forest,p_forest,elev,p_wet,p_forest,p_forest,p_forest,p_forest,p_forest,p_forest,p_forest,p_forest,travel,slope,elev,travel,elev,p_forest,p_forest,p_forest,slope,p_forest,p_forest,p_forest,p_forest,elev,travel,p_forest,p_forest,p_forest,p_forest,p_forest,p_forest,p_forest,elev,p_forest,p_forest,p_forest,p_forest,p_forest,p_forest,travel,p_forest,p_forest,travel,travel
53,slope,travel,travel,slope,slope,p_wet,water_exposure,slope,slope,slope,slope,slope,slope,slope,slope,elev,travel,p_wet,elev,p_wet,slope,slope,slope,travel,slope,slope,slope,slope,p_wet,elev,slope,slope,slope,slope,slope,slope,slope,p_wet,slope,slope,slope,slope,slope,slope,elev,slope,slope,elev,elev
54,travel,elev,elev,travel,travel,water_exposure,rd_dist_pvd+,travel,travel,travel,travel,travel,travel,travel,travel,p_wet,elev,water_exposure,p_wet,water_exposure,travel,travel,travel,elev,travel,travel,travel,travel,water_exposure,p_wet,travel,travel,travel,travel,travel,travel,travel,water_exposure,travel,travel,travel,travel,travel,travel,p_wet,travel,travel,p_wet,p_wet
55,elev,p_wet,p_wet,elev,elev,cst_50,hh_inc_med_bg_2012-2016,elev,elev,elev,elev,elev,elev,elev,elev,water_exposure,p_wet,cst_50,water_exposure,cst_50,elev,elev,elev,p_wet,elev,elev,elev,elev,cst_50,water_exposure,elev,elev,elev,elev,elev,elev,elev,cst_50,elev,elev,elev,elev,elev,elev,water_exposure,elev,elev,water_exposure,water_exposure
56,p_wet,water_exposure,water_exposure,p_wet,p_wet,cst_2500,sid,p_wet,p_wet,p_wet,p_wet,p_wet,p_wet,p_wet,p_wet,rd_dist_pvd+,water_exposure,cst_2500,cst_50,cst_2500,p_wet,p_wet,p_wet,water_exposure,p_wet,p_wet,p_wet,p_wet,cst_2500,cst_50,p_wet,p_wet,p_wet,p_wet,p_wet,p_wet,p_wet,cst_2500,p_wet,p_wet,p_wet,p_wet,p_wet,p_wet,rd_dist_pvd+,p_wet,p_wet,rd_dist_pvd+,rd_dist_pvd+
57,water_exposure,rd_dist_pvd+,rd_dist_pvd+,water_exposure,water_exposure,rd_dist_pvd+,NA,water_exposure,water_exposure,water_exposure,water_exposure,water_exposure,water_exposure,water_exposure,water_exposure,hh_inc_med_bg_2012-2016,cst_50,rd_dist_pvd+,cst_2500,rd_dist_pvd+,water_exposure,water_exposure,water_exposure,cst_50,water_exposure,water_exposure,water_exposure,water_exposure,rd_dist_pvd+,cst_2500,water_exposure,water_exposure,water_exposure,water_exposure,water_exposure,water_exposure,water_exposure,rd_dist_pvd+,water_exposure,water_exposure,water_exposure,water_exposure,water_exposure,water_exposure,hh_inc_med_bg_2012-2016,water_exposure,water_exposure,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016
58,cst_50,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,cst_50,rd_dist_pvd+,hh_inc_med_bg_2012-2016,NA,cst_50,cst_50,cst_50,rd_dist_pvd+,rd_dist_pvd+,cst_50,cst_50,rd_dist_pvd+,sid,cst_2500,hh_inc_med_bg_2012-2016,rd_dist_pvd+,hh_inc_med_bg_2012-2016,cst_50,cst_50,rd_dist_pvd+,cst_2500,rd_dist_pvd+,cst_50,rd_dist_pvd+,rd_dist_pvd+,hh_inc_med_bg_2012-2016,rd_dist_pvd+,rd_dist_pvd+,rd_dist_pvd+,cst_50,cst_50,rd_dist_pvd+,cst_50,cst_50,hh_inc_med_bg_2012-2016,cst_50,rd_dist_pvd+,rd_dist_pvd+,cst_50,rd_dist_pvd+,cst_50,sid,cst_50,cst_50,sid,sid
59,cst_2500,sid,sid,cst_2500,hh_inc_med_bg_2012-2016,sid,NA,cst_2500,cst_2500,cst_2500,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,cst_2500,cst_2500,hh_inc_med_bg_2012-2016,NA,rd_dist_pvd+,sid,hh_inc_med_bg_2012-2016,sid,cst_2500,cst_2500,hh_inc_med_bg_2012-2016,rd_dist_pvd+,hh_inc_med_bg_2012-2016,cst_2500,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,sid,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,cst_2500,cst_2500,hh_inc_med_bg_2012-2016,cst_2500,cst_2500,sid,cst_2500,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,cst_2500,hh_inc_med_bg_2012-2016,cst_2500,NA,cst_2500,cst_2500,NA,NA
60,rd_dist_pvd+,NA,NA,rd_dist_pvd+,sid,NA,NA,rd_dist_pvd+,rd_dist_pvd+,rd_dist_pvd+,sid,sid,rd_dist_pvd+,rd_dist_pvd+,sid,NA,hh_inc_med_bg_2012-2016,NA,sid,NA,rd_dist_pvd+,rd_dist_pvd+,sid,hh_inc_med_bg_2012-2016,sid,rd_dist_pvd+,sid,sid,NA,sid,sid,sid,rd_dist_pvd+,rd_dist_pvd+,sid,rd_dist_pvd+,rd_dist_pvd+,NA,rd_dist_pvd+,sid,sid,rd_dist_pvd+,sid,rd_dist_pvd+,NA,rd_dist_pvd+,rd_dist_pvd+,NA,NA
61,hh_inc_med_bg_2012-2016,NA,NA,hh_inc_med_bg_2012-2016,NA,NA,NA,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,NA,NA,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,NA,NA,sid,NA,NA,NA,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,NA,sid,NA,hh_inc_med_bg_2012-2016,NA,NA,NA,NA,NA,NA,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,NA,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,NA,hh_inc_med_bg_2012-2016,NA,NA,hh_inc_med_bg_2012-2016,NA,hh_inc_med_bg_2012-2016,NA,hh_inc_med_bg_2012-2016,hh_inc_med_bg_2012-2016,NA,NA
62,sid,NA,NA,sid,NA,NA,NA,sid,sid,sid,NA,NA,sid,sid,NA,NA,NA,NA,NA,NA,sid,sid,NA,NA,NA,sid,NA,NA,NA,NA,NA,NA,sid,sid,NA,sid,sid,NA,sid,NA,NA,sid,NA,sid,NA,sid,sid,NA,NA
